Plot Title: One,,,,,,,,
#,"Date Time, GMT-08:00","K-Type, °F (LGR S/N: 21278710, SEN S/N: 21278710, LBL: A)","K-Type, °F (LGR S/N: 21278710, SEN S/N: 21278710, LBL: B)","K-Type, °F (LGR S/N: 21278710, SEN S/N: 21278710, LBL: C)","K-Type, °F (LGR S/N: 21278710, SEN S/N: 21278710, LBL: D)",Host Connected (LGR S/N: 21278710),Stopped (LGR S/N: 21278710),End Of File (LGR S/N: 21278710)
1,11/7/2025 6:00,22.39,52.72,52.36,49.55,,,
2,11/7/2025 6:00,49.32,53.2,52.29,49.55,,,
3,11/7/2025 6:00,49.23,53.13,52.18,49.71,,,
4,11/7/2025 6:00,49.08,53.13,52.09,49.78,,,
5,11/7/2025 6:00,49.1,53.08,52.07,49.8,,,
6,11/7/2025 6:00,49.08,52.99,52.09,49.86,,,
7,11/7/2025 6:00,49.06,52.93,52.07,49.86,,,
8,11/7/2025 6:00,49.05,52.95,52.02,49.73,,,
9,11/7/2025 6:00,49.01,52.93,51.94,49.77,,,
10,11/7/2025 6:00,49.03,52.99,51.85,49.59,,,
11,11/7/2025 6:00,48.99,52.97,51.78,49.55,,,
12,11/7/2025 6:00,48.94,53.08,51.8,49.57,,,
13,11/7/2025 6:00,48.9,53.04,51.85,49.66,,,
14,11/7/2025 6:00,48.85,53.06,51.85,49.59,,,
15,11/7/2025 6:00,48.87,53.11,51.91,49.75,,,
16,11/7/2025 6:00,48.81,53.13,51.93,49.87,,,
17,11/7/2025 6:00,48.83,53.15,51.98,49.89,,,
18,11/7/2025 6:00,48.83,53.02,52.09,49.95,,,
19,11/7/2025 6:00,48.85,53.1,52.07,49.93,,,
20,11/7/2025 6:00,48.81,53.15,52.23,49.93,,,
21,11/7/2025 6:01,48.81,53.13,52.16,50.04,,,
22,11/7/2025 6:01,48.79,53.06,52.21,50.04,,,
23,11/7/2025 6:01,48.79,53.1,52.21,50.09,,,
24,11/7/2025 6:01,48.87,53.17,52.27,50.02,,,
25,11/7/2025 6:01,48.74,53.13,52.3,50.05,,,
26,11/7/2025 6:01,48.78,53.2,52.36,50.05,,,
27,11/7/2025 6:01,48.79,53.26,52.29,50.05,,,
28,11/7/2025 6:01,48.74,53.28,52.29,50.14,,,
29,11/7/2025 6:01,48.69,53.29,52.32,50.09,,,
30,11/7/2025 6:01,48.7,53.29,52.21,50.11,,,
31,11/7/2025 6:01,48.72,53.28,52.21,50.09,,,
32,11/7/2025 6:01,48.67,53.24,52.18,50.07,,,
33,11/7/2025 6:01,48.7,53.26,52.12,49.96,,,
34,11/7/2025 6:01,48.67,53.19,52.16,50.02,,,
35,11/7/2025 6:01,48.72,53.13,52.18,50.02,,,
36,11/7/2025 6:01,48.65,53.11,52,49.95,,,
37,11/7/2025 6:01,48.76,53.02,51.94,50,,,
38,11/7/2025 6:01,48.65,53.06,51.87,50.04,,,
39,11/7/2025 6:01,48.65,53.04,51.87,50.02,,,
40,11/7/2025 6:01,48.65,53.08,51.84,50.11,,,
41,11/7/2025 6:02,48.67,53.1,52.02,50.29,,,
42,11/7/2025 6:02,48.69,53.11,52.21,50.34,,,
43,11/7/2025 6:02,48.72,53.13,52.21,50.4,,,
44,11/7/2025 6:02,48.67,53.15,52.18,50.22,,,
45,11/7/2025 6:02,48.67,53.2,52.2,50.11,,,
46,11/7/2025 6:02,48.74,53.2,52.21,50.07,,,
47,11/7/2025 6:02,48.63,53.28,52.18,50.09,,,
48,11/7/2025 6:02,48.67,53.4,52.21,49.98,,,
49,11/7/2025 6:02,48.67,53.33,52.32,50.18,,,
50,11/7/2025 6:02,48.72,53.38,52.36,50.23,,,
51,11/7/2025 6:02,48.65,53.42,52.38,50.29,,,
52,11/7/2025 6:02,48.74,53.46,52.3,50.22,,,
53,11/7/2025 6:02,48.7,53.46,52.3,50.27,,,
54,11/7/2025 6:02,48.69,53.55,52.57,50.4,,,
55,11/7/2025 6:02,48.7,53.67,52.65,50.49,,,
56,11/7/2025 6:02,48.67,53.73,52.84,50.67,,,
57,11/7/2025 6:02,48.79,53.78,52.9,50.9,,,
58,11/7/2025 6:02,48.76,53.76,52.97,50.99,,,
59,11/7/2025 6:02,48.78,53.78,53.06,51.01,,,
60,11/7/2025 6:02,48.76,53.85,53.19,51.24,,,
61,11/7/2025 6:03,48.88,53.85,53.15,51.31,,,
62,11/7/2025 6:03,48.96,53.91,53.19,51.42,,,
63,11/7/2025 6:03,48.96,53.92,53.24,51.57,,,
64,11/7/2025 6:03,49.01,53.92,53.33,51.64,,,
65,11/7/2025 6:03,49.05,53.94,53.33,51.67,,,
66,11/7/2025 6:03,49.05,53.92,53.33,51.71,,,
67,11/7/2025 6:03,49.05,54.01,53.4,51.69,,,
68,11/7/2025 6:03,49.03,54.03,53.44,51.87,,,
69,11/7/2025 6:03,49.01,54.07,53.55,51.84,,,
70,11/7/2025 6:03,49.06,54.09,53.47,51.84,,,
71,11/7/2025 6:03,49.03,54.1,53.47,51.78,,,
72,11/7/2025 6:03,49.01,54.09,53.37,51.69,,,
73,11/7/2025 6:03,49.01,54.12,53.26,51.64,,,
74,11/7/2025 6:03,49.05,54.1,53.15,51.55,,,
75,11/7/2025 6:03,49.03,54.12,53.19,51.49,,,
76,11/7/2025 6:03,49.08,54.18,53.1,51.39,,,
77,11/7/2025 6:03,49.06,54.18,53.01,51.4,,,
78,11/7/2025 6:03,49.06,54.12,53.02,51.28,,,
79,11/7/2025 6:03,49.08,54.16,52.88,51.19,,,
80,11/7/2025 6:03,49.08,54.12,52.83,51.13,,,
81,11/7/2025 6:04,49.06,54.1,52.83,50.97,,,
82,11/7/2025 6:04,49.14,54.14,52.81,50.9,,,
83,11/7/2025 6:04,49.08,54.12,52.77,50.83,,,
84,11/7/2025 6:04,49.06,54.05,52.72,50.7,,,
85,11/7/2025 6:04,49.08,53.94,52.66,50.61,,,
86,11/7/2025 6:04,49.1,54,52.66,50.59,,,
87,11/7/2025 6:04,49.06,53.91,52.72,50.59,,,
