"Plot Title: three"
"#","Date Time, GMT-08:00","K-Type, °F (LGR S/N: 21504775, SEN S/N: 21504775, LBL: A)","K-Type, °F (LGR S/N: 21504775, SEN S/N: 21504775, LBL: B)","K-Type, °F (LGR S/N: 21504775, SEN S/N: 21504775, LBL: C)","K-Type, °F (LGR S/N: 21504775, SEN S/N: 21504775, LBL: D)","Host Connected (LGR S/N: 21504775)","Stopped (LGR S/N: 21504775)","End Of File (LGR S/N: 21504775)"
1,11/07/25 06:00:00 AM,32.61,44.62,45.14,49.41,,,
2,11/07/25 06:00:03 AM,45.01,45.91,45.41,50.16,,,
3,11/07/25 06:00:06 AM,44.94,45.84,45.41,50.14,,,
4,11/07/25 06:00:09 AM,44.94,45.79,45.34,50.11,,,
5,11/07/25 06:00:12 AM,44.96,45.79,45.32,50.11,,,
6,11/07/25 06:00:15 AM,44.98,45.61,45.27,50.14,,,
7,11/07/25 06:00:18 AM,45.00,45.59,45.27,50.14,,,
8,11/07/25 06:00:21 AM,44.96,45.61,45.36,50.09,,,
9,11/07/25 06:00:24 AM,45.03,45.66,45.36,50.11,,,
10,11/07/25 06:00:27 AM,45.05,45.61,45.41,50.13,,,
11,11/07/25 06:00:30 AM,45.05,45.64,45.32,50.22,,,
12,11/07/25 06:00:33 AM,44.96,45.64,45.32,50.27,,,
13,11/07/25 06:00:36 AM,44.92,45.72,45.34,50.18,,,
14,11/07/25 06:00:39 AM,44.96,45.70,45.36,50.09,,,
15,11/07/25 06:00:42 AM,44.94,45.70,45.39,49.98,,,
16,11/07/25 06:00:45 AM,44.91,45.77,45.43,49.95,,,
17,11/07/25 06:00:48 AM,44.89,45.82,45.39,49.95,,,
18,11/07/25 06:00:51 AM,44.89,45.95,45.54,50.00,,,
19,11/07/25 06:00:54 AM,44.83,45.99,45.54,50.00,,,
20,11/07/25 06:00:57 AM,44.78,46.00,45.57,49.93,,,
21,11/07/25 06:01:00 AM,44.83,45.97,45.63,49.95,,,
22,11/07/25 06:01:03 AM,44.83,45.95,45.52,49.91,,,
23,11/07/25 06:01:06 AM,44.78,45.93,45.63,49.95,,,
24,11/07/25 06:01:09 AM,44.82,45.93,45.68,49.95,,,
25,11/07/25 06:01:12 AM,44.82,45.97,45.61,49.95,,,
26,11/07/25 06:01:15 AM,44.82,45.93,45.59,49.87,,,
27,11/07/25 06:01:18 AM,44.82,45.93,45.59,49.84,,,
28,11/07/25 06:01:21 AM,44.76,45.86,45.57,49.84,,,
29,11/07/25 06:01:24 AM,44.74,45.86,45.55,49.84,,,
30,11/07/25 06:01:27 AM,44.67,45.90,45.59,49.80,,,
31,11/07/25 06:01:30 AM,44.73,45.88,45.54,49.80,,,
32,11/07/25 06:01:33 AM,44.73,45.91,45.59,49.75,,,
33,11/07/25 06:01:36 AM,44.67,45.90,45.48,49.73,,,
34,11/07/25 06:01:39 AM,44.60,45.90,45.59,49.75,,,
35,11/07/25 06:01:42 AM,44.64,45.95,45.54,49.78,,,
36,11/07/25 06:01:45 AM,44.64,45.93,45.52,49.77,,,
37,11/07/25 06:01:48 AM,44.62,45.91,45.59,49.75,,,
38,11/07/25 06:01:51 AM,44.69,45.91,45.52,49.71,,,
39,11/07/25 06:01:54 AM,44.60,45.90,45.59,49.75,,,
40,11/07/25 06:01:57 AM,44.58,45.88,45.54,49.82,,,
41,11/07/25 06:02:00 AM,44.64,45.86,45.54,49.71,,,
42,11/07/25 06:02:03 AM,44.78,45.88,45.54,49.75,,,
43,11/07/25 06:02:06 AM,44.78,45.86,45.48,49.75,,,
44,11/07/25 06:02:09 AM,44.80,45.68,45.46,49.80,,,
45,11/07/25 06:02:12 AM,44.76,45.70,45.43,49.78,,,
46,11/07/25 06:02:15 AM,44.83,45.66,45.39,49.64,,,
47,11/07/25 06:02:18 AM,44.83,45.68,45.41,49.57,,,
48,11/07/25 06:02:21 AM,44.85,45.63,45.34,49.59,,,
