"Plot Title: two"
"#","Date Time, GMT-08:00","K-Type, °F (LGR S/N: 21379101, SEN S/N: 21379101, LBL: A)","K-Type, °F (LGR S/N: 21379101, SEN S/N: 21379101, LBL: B)","K-Type, °F (LGR S/N: 21379101, SEN S/N: 21379101, LBL: C)","K-Type, °F (LGR S/N: 21379101, SEN S/N: 21379101, LBL: D)","Host Connected (LGR S/N: 21379101)","Stopped (LGR S/N: 21379101)","End Of File (LGR S/N: 21379101)"
1,11/07/25 06:00:00 AM,9.52,48.76,50.99,53.33,,,
2,11/07/25 06:00:03 AM,48.43,54.52,52.00,53.56,,,
3,11/07/25 06:00:06 AM,48.18,54.54,52.07,53.60,,,
4,11/07/25 06:00:09 AM,48.09,54.57,52.11,53.65,,,
5,11/07/25 06:00:12 AM,48.09,54.59,52.12,53.65,,,
6,11/07/25 06:00:15 AM,47.98,54.64,52.18,53.64,,,
7,11/07/25 06:00:18 AM,48.04,54.68,52.21,53.71,,,
8,11/07/25 06:00:21 AM,48.11,54.68,52.05,53.69,,,
9,11/07/25 06:00:24 AM,48.16,54.81,52.14,53.78,,,
10,11/07/25 06:00:27 AM,48.24,54.88,52.09,53.76,,,
11,11/07/25 06:00:30 AM,48.31,54.88,52.11,53.78,,,
12,11/07/25 06:00:33 AM,48.31,54.93,52.21,53.78,,,
13,11/07/25 06:00:36 AM,48.27,54.95,52.14,53.82,,,
14,11/07/25 06:00:39 AM,48.51,54.93,52.20,53.85,,,
15,11/07/25 06:00:42 AM,48.56,54.88,52.23,53.83,,,
16,11/07/25 06:00:45 AM,48.81,54.79,52.30,53.82,,,
17,11/07/25 06:00:48 AM,48.85,54.64,52.29,53.92,,,
18,11/07/25 06:00:51 AM,48.90,54.46,52.23,53.85,,,
19,11/07/25 06:00:54 AM,48.96,54.36,52.18,53.83,,,
20,11/07/25 06:00:57 AM,48.88,54.25,52.12,53.83,,,
21,11/07/25 06:01:00 AM,48.88,54.18,52.09,53.80,,,
